"Export for HP:0012823"
"Gene","Associated diseases"
"ACTA1 (58)","NEMALINE MYOPATHY 3 (OMIM:161800), MYOPATHY, CONGENITAL, WITH FIBER-TYPE DI... (OMIM:255310), Zebra body myopathy (ORPHA:97240), MYOPATHY, SCAPULOHUMEROPERONEAL (OMIM:616852), Congenital fiber-type disproportion myop... (ORPHA:2020)"
"TMEM216 (51259)","MECKEL SYNDROME, TYPE 2 (OMIM:603194), Meckel syndrome (ORPHA:564), Joubert syndrome with oculorenal defect (ORPHA:2318), JOUBERT SYNDROME 2 (OMIM:608091)"
"KATNB1 (10300)","LISSENCEPHALY 6 WITH MICROCEPHALY (OMIM:616212)"
"COQ8B (79934)","NEPHROTIC SYNDROME, TYPE 9 (OMIM:615573)"
"MC4R (4160)","Obesity due to melanocortin 4 receptor d... (ORPHA:71529), OBESITY (OMIM:601665)"
"NAA10 (8260)","MICROPHTHALMIA, SYNDROMIC 1 (OMIM:309800), Microphthalmia, Lenz type (ORPHA:568), OGDEN SYNDROME (OMIM:300855)"
"WDR81 (124997)","CEREBELLAR ATAXIA, MENTAL RETARDATION, A... (OMIM:610185), Dysequilibrium syndrome (ORPHA:1766)"
"CCNO (10309)","Primary ciliary dyskinesia (ORPHA:244), CILIARY DYSKINESIA, PRIMARY, 29 (OMIM:615872)"
"CHST6 (4166)","MACULAR DYSTROPHY, CORNEAL, 1 (OMIM:217800)"
"ACTG1 (71)","Baraitser-Winter cerebrofrontofacial syn... (ORPHA:2995), DEAFNESS, AUTOSOMAL DOMINANT 20 (OMIM:604717), BARAITSER-WINTER SYNDROME 2 (OMIM:614583)"
"L2HGDH (79944)","L-2-HYDROXYGLUTARIC ACIDURIA (OMIM:236792), L-2-hydroxyglutaric aciduria (ORPHA:79314)"
"MCM2 (4171)","DEAFNESS, AUTOSOMAL DOMINANT 70 (OMIM:616968)"
"RPS19 (6223)","Blackfan-Diamond anemia (ORPHA:124), DIAMOND-BLACKFAN ANEMIA (OMIM:105650)"
"IKZF1 (10320)","IMMUNODEFICIENCY, COMMON VARIABLE, 13 (OMIM:616873), Stevens-Johnson syndrome (ORPHA:36426)"
"ACTN4 (81)","FOCAL SEGMENTAL GLOMERULOSCLEROSIS 1 (OMIM:603278)"
"TRAC (28755)","T-CELL RECEPTOR-ALPHA/BETA DEFICIENCY (OMIM:615387)"
"EXT1 (2131)","EXOSTOSES, MULTIPLE, TYPE I (OMIM:133700), Multiple osteochondromas (ORPHA:321), Langer-Giedion syndrome (ORPHA:502), CHONDROSARCOMA (OMIM:215300)"
"EXT2 (2132)","Multiple osteochondromas (ORPHA:321), SEIZURES, SCOLIOSIS, AND MACROCEPHALY SY... (OMIM:616682), Potocki-Shaffer syndrome (ORPHA:52022), EXOSTOSES, MULTIPLE, TYPE II (OMIM:133701)"
"KLHL41 (10324)","NEMALINE MYOPATHY 9 (OMIM:615731)"
"BCL11A (53335)","INTELLECTUAL DEVELOPMENTAL DISORDER WITH... (OMIM:617101)"
"RPS26 (6231)","Blackfan-Diamond anemia (ORPHA:124), DIAMOND-BLACKFAN ANEMIA 10 (OMIM:613309)"
"TMEM173 (340061)","STING-ASSOCIATED VASCULOPATHY, INFANTILE... (OMIM:615934)"
"ACTN2 (88)","CARDIOMYOPATHY, DILATED, 1AA, WITH OR WI... (OMIM:612158), Familial isolated dilated cardiomyopathy (ORPHA:154)"
"RPS28 (6234)","Blackfan-Diamond anemia (ORPHA:124), DIAMOND-BLACKFAN ANEMIA 15 WITH MANDIBUL... (OMIM:606164)"
"ADGRV1 (84059)","USHER SYNDROME, TYPE IIC (OMIM:605472), Usher syndrome type 2 (ORPHA:231178), FEBRILE SEIZURES, FAMILIAL, 4 (OMIM:604352)"
"EYA1 (2138)","BRANCHIOOTORENAL SYNDROME 1 (OMIM:113650), Otofaciocervical syndrome (ORPHA:2792), OTOFACIOCERVICAL SYNDROME (OMIM:166780), BRANCHIOOTIC SYNDROME 1 (OMIM:602588), BOR syndrome (ORPHA:107), Branchiootic syndrome (ORPHA:52429)"
"RPS29 (6235)","DIAMOND-BLACKFAN ANEMIA 13 (OMIM:615909), Blackfan-Diamond anemia (ORPHA:124)"
"VSX1 (30813)","KERATOCONUS 1 (OMIM:148300), CRANIOFACIAL ANOMALIES AND ANTERIOR SEGM... (OMIM:614195), CORNEAL DYSTROPHY, POSTERIOR POLYMORPHOU... (OMIM:122000)"
"ACY1 (95)","AMINOACYLASE 1 DEFICIENCY (OMIM:609924)"
"F2 (2147)","THROMBOPHILIAVENOUS THROMBOEMBOLISM, INC... (OMIM:188050), PROTHROMBIN DEFICIENCY, CONGENITAL (OMIM:613679)"
"DYSF (8291)","MUSCULAR DYSTROPHY, LIMB-GIRDLE, TYPE 2B (OMIM:253601), MIYOSHI MUSCULAR DYSTROPHY 1 (OMIM:254130), MYOPATHY, DISTAL, WITH ANTERIOR TIBIAL O... (OMIM:606768)"
"TIMMDC1 (51300)","MITOCHONDRIAL COMPLEX I DEFICIENCY (OMIM:252010)"
"COLQ (8292)","MYASTHENIC SYNDROME, CONGENITAL, 5 (OMIM:603034)"
"TFG (10342)","SPASTIC PARAPLEGIA 57, AUTOSOMAL RECESSI... (OMIM:615658), HEREDITARY MOTOR AND SENSORY NEUROPATHY,... (OMIM:604484), Autosomal recessive spastic paraplegia t... (ORPHA:431329)"
"ADAR (103)","AICARDI-GOUTIERES SYNDROME 6 (OMIM:615010), Dyschromatosis symmetrica hereditaria (ORPHA:41), Aicardi-Goutières syndrome (ORPHA:51), DYSCHROMATOSIS SYMMETRICA HEREDITARIA 1 (OMIM:127400)"
"GRHL2 (79977)","ECTODERMAL DYSPLASIA/SHORT STATURE SYNDR... (OMIM:616029), DEAFNESS, AUTOSOMAL DOMINANT NONSYNDROMI... (OMIM:608641)"
"F5 (2153)","Budd-Chiari syndrome (ORPHA:131), FACTOR V DEFICIENCY (OMIM:227400), THROMBOPHILIA DUE TO DEFICIENCY OF ACTIV... (OMIM:188055)"
"PLEKHG5 (57449)","CHARCOT-MARIE-TOOTH DISEASE, RECESSIVE I... (OMIM:615376), SPINAL MUSCULAR ATROPHY, DISTAL, AUTOSOM... (OMIM:611067)"
"F7 (2155)","Congenital factor VII deficiency (ORPHA:327), FACTOR VII DEFICIENCY (OMIM:227500)"
"MECP2 (4204)","ENCEPHALOPATHY, NEONATAL SEVERE, DUE TO ... (OMIM:300673), RETT SYNDROME (OMIM:312750), Atypical Rett syndrome (ORPHA:3095), Trisomy Xq28 (ORPHA:1762), MENTAL RETARDATION, X-LINKED, SYNDROMIC ... (OMIM:300055), LUBS X-LINKED MENTAL RETARDATION SYNDROM... (OMIM:300260), Rett syndrome (ORPHA:778), X-linked non-syndromic intellectual disa... (ORPHA:777)"
"REEP2 (51308)","SPASTIC PARAPLEGIA 72, AUTOSOMAL RECESSI... (OMIM:615625)"
"RTN2 (6253)","SPASTIC PARAPLEGIA 12, AUTOSOMAL DOMINAN... (OMIM:604805)"
"F10 (2159)","FACTOR X DEFICIENCY (OMIM:227600)"
"ADCY5 (111)","DYSKINESIA, FAMILIAL, WITH FACIAL MYOKYM... (OMIM:606703), Benign familial chorea (ORPHA:1429)"
"MEFV (4210)","Behçet disease (ORPHA:117), FAMILIAL MEDITERRANEAN FEVER, AUTOSOMAL ... (OMIM:134610), FAMILIAL MEDITERRANEAN FEVER (OMIM:249100), Familial Mediterranean fever (ORPHA:342)"
"STX1B (112755)","GENERALIZED EPILEPSY WITH FEBRILE SEIZUR... (OMIM:616172)"
"F13A1 (2162)","FACTOR XIII, A SUBUNIT, DEFICIENCY OF (OMIM:613225)"
"GATAD2B (57459)","MENTAL RETARDATION, AUTOSOMAL DOMINANT 1... (OMIM:615074)"
"RYR1 (6261)","MINICORE MYOPATHY WITH EXTERNAL OPHTHALM... (OMIM:255320), MALIGNANT HYPERTHERMIA, SUSCEPTIBILITY T... (OMIM:145600), Central core disease (ORPHA:597), CENTRAL CORE DISEASE OF MUSCLE (OMIM:117000), MYOPATHY, CONGENITAL, WITH FIBER-TYPE DI... (OMIM:255310)"
"ACOX2 (8309)","BILE ACID SYNTHESIS DEFECT, CONGENITAL, ... (OMIM:617308)"
"F13B (2165)","FACTOR XIII, B SUBUNIT, DEFICIENCY OF (OMIM:613235)"
"ADD3 (120)","CEREBRAL PALSY, SPASTIC QUADRIPLEGIC, 3 (OMIM:617008)"
"TBC1D24 (57465)","DEAFNESS, AUTOSOMAL DOMINANT 65 (OMIM:616044), Familial infantile myoclonic epilepsy (ORPHA:352582), DEAFNESS, AUTOSOMAL RECESSIVE 86 (OMIM:614617)"
"WAC (51322)","DESANTO-SHINAWI SYNDROME (OMIM:616708)"
"SPG21 (51324)","MAST SYNDROME (OMIM:248900)"
"SLC12A5 (57468)","EPILEPTIC ENCEPHALOPATHY, EARLY INFANTIL... (OMIM:616645)"
"FZD4 (8322)","Retinopathy of prematurity (ORPHA:90050), EXUDATIVE VITREORETINOPATHY 1 (OMIM:133780)"
"ADK (132)","HYPERMETHIONINEMIA DUE TO ADENOSINE KINA... (OMIM:614300)"
"ARL6 (84100)","Retinitis pigmentosa (ORPHA:791), BARDET-BIEDL SYNDROME 3 (OMIM:600151), RETINITIS PIGMENTOSA (OMIM:268000), RETINITIS PIGMENTOSA 55 (OMIM:613575), Bardet-Biedl syndrome (ORPHA:110)"
"GFI1B (8328)","BLEEDING DISORDER, PLATELET-TYPE, 17 (OMIM:187900), Gray platelet syndrome (ORPHA:721)"
"MET (4233)","DEAFNESS, AUTOSOMAL RECESSIVE 97 (OMIM:616705), Pediatric hepatocellular carcinoma (ORPHA:33402), HEPATOCELLULAR CARCINOMA (OMIM:114550), RENAL CELL CARCINOMA, PAPILLARY, 1 (OMIM:605074)"
"FANCB (2187)","FANCONI ANEMIA, COMPLEMENTATION GROUP B (OMIM:300514), Fanconi anemia (ORPHA:84), TRACHEOESOPHAGEAL FISTULA WITH OR WITHOU... (OMIM:189960), VACTERL ASSOCIATION WITH HYDROCEPHALUS, ... (OMIM:314390), VACTERL with hydrocephalus (ORPHA:3412)"
"TUBB3 (10381)","CORTICAL DYSPLASIA, COMPLEX, WITH OTHER ... (OMIM:614039), FIBROSIS OF EXTRAOCULAR MUSCLES, CONGENI... (OMIM:600638)"
"ARID1B (57492)","Intellectual disability-sparse hair-brac... (ORPHA:3051), COFFIN-SIRIS SYNDROME 1 (OMIM:135900), 6q25 microdeletion syndrome (ORPHA:251056), MENTAL RETARDATION, AUTOSOMAL DOMINANT 1... (OMIM:614562), Coffin-Siris syndrome (ORPHA:1465)"
"SAMD9L (219285)","ATAXIA-PANCYTOPENIA SYNDROME (OMIM:159550), Ataxia-pancytopenia syndrome (ORPHA:2585)"
"ADRA2B (151)","EPILEPSY, FAMILIAL ADULT MYOCLONIC, 2 (OMIM:607876), Benign adult familial myoclonic epilepsy (ORPHA:86814)"
"PANK2 (80025)","NEURODEGENERATION WITH BRAIN IRON ACCUMU... (OMIM:234200), HYPOPREBETALIPOPROTEINEMIA, ACANTHOCYTOS... (OMIM:607236)"
"KIDINS220 (57498)","SPASTIC PARAPLEGIA, INTELLECTUAL DISABIL... (OMIM:617296)"
"NDRG1 (10397)","CHARCOT-MARIE-TOOTH DISEASE, TYPE 4D (OMIM:601455)"
"CLIC5 (53405)","DEAFNESS, AUTOSOMAL RECESSIVE 103 (OMIM:616042)"
"NLGN4X (57502)","AUTISM, SUSCEPTIBILITY TO, X-LINKED 2 (OMIM:300495)"
"ADSL (158)","ADENYLOSUCCINASE DEFICIENCY (OMIM:103050), Adenylosuccinate lyase deficiency (ORPHA:46)"
"KITLG (4254)","HYPERPIGMENTATION, FAMILIAL PROGRESSIVE (OMIM:145250), Waardenburg syndrome type 2 (ORPHA:895)"
"MBTPS2 (51360)","PALMOPLANTAR KERATODERMA, MUTILATING, WI... (OMIM:300918), IFAP SYNDROME WITH OR WITHOUT BRESHECK S... (OMIM:308205), BRESEK syndrome (ORPHA:85284), KERATOSIS FOLLICULARIS SPINULOSA DECALVA... (OMIM:308800), Ichthyosis follicularis-alopecia-photoph... (ORPHA:2273)"
"SBF1 (6305)","CHARCOT-MARIE-TOOTH DISEASE, TYPE 4B3 (OMIM:615284)"
"AARS2 (57505)","COMBINED OXIDATIVE PHOSPHORYLATION DEFIC... (OMIM:614096), LEUKOENCEPHALOPATHY, PROGRESSIVE, WITH O... (OMIM:615889)"
"ATXN1 (6310)","SPINOCEREBELLAR ATAXIA 1 (OMIM:164400)"
"COG6 (57511)","CONGENITAL DISORDER OF GLYCOSYLATION, TY... (OMIM:614576), SHAHEEN SYNDROME (OMIM:615328)"
"FKTN (2218)","Muscle-eye-brain disease (ORPHA:588), MUSCULAR DYSTROPHY-DYSTROGLYCANOPATHY (L... (OMIM:611588), Familial isolated dilated cardiomyopathy (ORPHA:154), Congenital muscular dystrophy, Fukuyama ... (ORPHA:272), Walker-Warburg syndrome (ORPHA:899), MUSCULAR DYSTROPHY-DYSTROGLYCANOPATHY (C... (OMIM:236670), MUSCULAR DYSTROPHY-DYSTROGLYCANOPATHY (C... (OMIM:613152), CARDIOMYOPATHY, DILATED, 1X (OMIM:611615), MUSCULAR DYSTROPHY-DYSTROGLYCANOPATHY (C... (OMIM:253800)"
"ARHGAP31 (57514)","Adams-Oliver syndrome (ORPHA:974), ADAMS-OLIVER SYNDROME 1 (OMIM:100300)"
"SCN1A (6323)","Lennox-Gastaut syndrome (ORPHA:2382), GENERALIZED EPILEPSY WITH FEBRILE SEIZUR... (OMIM:604233), Familial or sporadic hemiplegic migraine (ORPHA:569), GENERALIZED EPILEPSY WITH FEBRILE SEIZUR... (OMIM:604403), Dravet syndrome (ORPHA:33069), MIGRAINE, FAMILIAL HEMIPLEGIC, 3 (OMIM:609634), DRAVET SYNDROME (OMIM:607208)"
"SCN1B (6324)","BRUGADA SYNDROME 5 (OMIM:612838), EPILEPTIC ENCEPHALOPATHY, EARLY INFANTIL... (OMIM:617350), Familial progressive cardiac conduction ... (ORPHA:871), GENERALIZED EPILEPSY WITH FEBRILE SEIZUR... (OMIM:604233), Dravet syndrome (ORPHA:33069), ATRIAL FIBRILLATION, FAMILIAL, 13 (OMIM:615377)"
"SCN2A (6326)","EPILEPTIC ENCEPHALOPATHY, EARLY INFANTIL... (OMIM:613721), West syndrome (ORPHA:3451), Benign familial infantile epilepsy (ORPHA:306), Dravet syndrome (ORPHA:33069), SEIZURES, BENIGN FAMILIAL INFANTILE, 3 (OMIM:607745)"
"PCDH19 (57526)","EPILEPSY, FEMALE-RESTRICTED, WITH MENTAL... (OMIM:300088), Dravet syndrome (ORPHA:33069)"
"JAG1 (182)","TETRALOGY OF FALLOT (OMIM:187500), ALAGILLE SYNDROME 1 (OMIM:118450), Tetralogy of Fallot (ORPHA:3303)"
"RNASEH2C (84153)","AICARDI-GOUTIERES SYNDROME 3 (OMIM:610329), Aicardi-Goutières syndrome (ORPHA:51)"
"SCN4A (6329)","Hypokalemic periodic paralysis (ORPHA:681), Hyperkalemic periodic paralysis (ORPHA:682), PARAMYOTONIA CONGENITA OF VON EULENBURG (OMIM:168300), Myotonia permanens (ORPHA:99735), HYPERKALEMIC PERIODIC PARALYSIS (OMIM:170500), Acetazolamide-responsive myotonia (ORPHA:99736), HYPOKALEMIC PERIODIC PARALYSIS, TYPE 1 (OMIM:170400), MYOTONIA, POTASSIUM-AGGRAVATED (OMIM:608390), HYPOKALEMIC PERIODIC PARALYSIS, TYPE 2 (OMIM:613345), MYASTHENIC SYNDROME, CONGENITAL, 16 (OMIM:614198), Myotonia fluctuans (ORPHA:99734)"
"SCN5A (6331)","CARDIOMYOPATHY, DILATED, 1E (OMIM:601154), Familial isolated dilated cardiomyopathy (ORPHA:154), VENTRICULAR FIBRILLATION DURING MYOCARDI... (OMIM:603829), LONG QT SYNDROME 3 (OMIM:603830), Familial progressive cardiac conduction ... (ORPHA:871), BRUGADA SYNDROME 1 (OMIM:601144), ATRIAL FIBRILLATION, FAMILIAL, 10 (OMIM:614022), PROGRESSIVE FAMILIAL HEART BLOCK, TYPE I... (OMIM:113900), SICK SINUS SYNDROME 1, AUTOSOMAL RECESSI... (OMIM:608567)"
"FECH (2235)","PROTOPORPHYRIA, ERYTHROPOIETIC (OMIM:177000), Autosomal erythropoietic protoporphyria (ORPHA:79278)"
"MIPEP (4285)","COMBINED OXIDATIVE PHOSPHORYLATION DEFIC... (OMIM:617228)"
"MITF (4286)","TIETZ SYNDROME (OMIM:103500), ALBINISM, OCULAR, WITH SENSORINEURAL DEA... (OMIM:103470), COLOBOMA, OSTEOPETROSIS, MICROPHTHALMIA,... (OMIM:617306), Familial melanoma (ORPHA:618), WAARDENBURG SYNDROME, TYPE 2A (OMIM:193510), Waardenburg syndrome type 2 (ORPHA:895)"
"COA5 (493753)","MITOCHONDRIAL COMPLEX IV DEFICIENCY (OMIM:220110), CARDIOENCEPHALOMYOPATHY, FATAL INFANTILE... (OMIM:616500)"
"SCN9A (6335)","Paroxysmal extreme pain disorder (ORPHA:46348), INDIFFERENCE TO PAIN, CONGENITAL, AUTOSO... (OMIM:243000), PAROXYSMAL EXTREME PAIN DISORDER (OMIM:167400), Hereditary sensory and autonomic neuropa... (ORPHA:970), Dravet syndrome (ORPHA:33069), NEUROPATHY, HEREDITARY SENSORY AND AUTON... (OMIM:201300), Erythromelalgia (ORPHA:1956), ERYTHERMALGIA, PRIMARY (OMIM:133020), GENERALIZED EPILEPSY WITH FEBRILE SEIZUR... (OMIM:613863)"
"ATXN3 (4287)","MACHADO-JOSEPH DISEASE (OMIM:109150)"
"SCN10A (6336)","Paroxysmal extreme pain disorder (ORPHA:46348), EPISODIC PAIN SYNDROME, FAMILIAL, 2 (OMIM:615551)"
"SCNN1A (6337)","BRONCHIECTASIS WITH OR WITHOUT ELEVATED ... (OMIM:613021), PSEUDOHYPOALDOSTERONISM, TYPE I, AUTOSOM... (OMIM:264350)"
"SCNN1B (6338)","LIDDLE SYNDROME (OMIM:177200), Liddle syndrome (ORPHA:526), BRONCHIECTASIS WITH OR WITHOUT ELEVATED ... (OMIM:211400), PSEUDOHYPOALDOSTERONISM, TYPE I, AUTOSOM... (OMIM:264350)"
"DCAF17 (80067)","Woodhouse-Sakati syndrome (ORPHA:3464), WOODHOUSE-SAKATI SYNDROME (OMIM:241080)"
"SCNN1G (6340)","BRONCHIECTASIS WITH OR WITHOUT ELEVATED ... (OMIM:613071), LIDDLE SYNDROME (OMIM:177200), Liddle syndrome (ORPHA:526), PSEUDOHYPOALDOSTERONISM, TYPE I, AUTOSOM... (OMIM:264350)"
"CC2D2A (57545)","JOUBERT SYNDROME 9 (OMIM:612285), Joubert syndrome with hepatic defect (ORPHA:1454), MECKEL SYNDROME, TYPE 6 (OMIM:612284), COACH SYNDROME (OMIM:216360), Meckel syndrome (ORPHA:564), Joubert syndrome with oculorenal defect (ORPHA:2318)"
"PLA2G6 (8398)","PARKINSON DISEASE 14, AUTOSOMAL RECESSIV... (OMIM:612953), NEURODEGENERATION WITH BRAIN IRON ACCUMU... (OMIM:256600), Infantile neuroaxonal dystrophy (ORPHA:35069), NEURODEGENERATION WITH BRAIN IRON ACCUMU... (OMIM:610217)"
"AKT1 (207)","BREAST CANCER (OMIM:114480), PROTEUS SYNDROME (OMIM:176920), Proteus syndrome (ORPHA:744), COLORECTAL CANCER (OMIM:114500), COWDEN SYNDROME 6 (OMIM:615109), Cowden syndrome (ORPHA:201), OVARIAN CANCEROVARIAN CANCER, EPITHELIAL... (OMIM:167000)"
"AKT2 (208)","HYPOINSULINEMIC HYPOGLYCEMIA WITH HEMIHY... (OMIM:240900), Hypoinsulinemic hypoglycemia and body he... (ORPHA:293964), AKT2-related familial partial lipodystro... (ORPHA:79085), DIABETES MELLITUS, NONINSULIN-DEPENDENT (OMIM:125853)"
"FGF12 (2257)","EPILEPTIC ENCEPHALOPATHY, EARLY INFANTIL... (OMIM:617166)"
"NOP10 (55505)","Dyskeratosis congenita (ORPHA:1775), DYSKERATOSIS CONGENITA, AUTOSOMAL RECESS... (OMIM:224230)"
"NR3C2 (4306)","HYPERTENSION, EARLY-ONSET, AUTOSOMAL DOM... (OMIM:605115), PSEUDOHYPOALDOSTERONISM, TYPE I, AUTOSOM... (OMIM:177735)"
"FGF14 (2259)","SPINOCEREBELLAR ATAXIA 27 (OMIM:609307)"
"ALAS2 (212)","ANEMIA, SIDEROBLASTIC, X-LINKED (OMIM:300751), X-linked sideroblastic anemia (ORPHA:75563), PROTOPORPHYRIA, ERYTHROPOIETIC, X-LINKED (OMIM:300752)"
"FGFR1 (2260)","Pfeiffer syndrome type 1 (ORPHA:93258), Oligodontia (ORPHA:99798), HARTSFIELD SYNDROME (OMIM:615465), HYPOGONADOTROPIC HYPOGONADISM 2 WITH OR ... (OMIM:147950), OSTEOGLOPHONIC DYSPLASIA (OMIM:166250), Isolated trigonocephaly (ORPHA:3366), ENCEPHALOCRANIOCUTANEOUS LIPOMATOSIS (OMIM:613001), JACKSON-WEISS SYNDROME (OMIM:123150), Encephalocraniocutaneous lipomatosis (ORPHA:2396), Kallmann syndrome (ORPHA:478), Septo-optic dysplasia spectrum (ORPHA:3157), TRIGONOCEPHALY 1 (OMIM:190440), Normosmic congenital hypogonadotropic hy... (ORPHA:432), Hartsfield syndrome (ORPHA:2117), Osteoglophonic dwarfism (ORPHA:2645), PFEIFFER SYNDROME (OMIM:101600)"
