"Export for HP:0000118"
"Gene","Associated diseases"
"AMER1 (139285)","Osteopathia striata-cranial sclerosis sy... (ORPHA:2780), OSTEOPATHIA STRIATA WITH CRANIAL SCLEROS... (OMIM:300373)"
"ABCA4 (24)","STARGARDT DISEASE 1 (OMIM:248200), Retinitis pigmentosa (ORPHA:791), Stargardt disease (ORPHA:827), RETINITIS PIGMENTOSA 19 (OMIM:601718), CONE-ROD DYSTROPHY 3 (OMIM:604116), Cone rod dystrophy (ORPHA:1872)"
"LZTR1 (8216)","NOONAN SYNDROME 10 (OMIM:616564), Noonan syndrome (ORPHA:648)"
"ABL1 (25)","Chronic myeloid leukemia (ORPHA:521)"
"ESS2 (8220)","VELOCARDIOFACIAL SYNDROME (OMIM:192430)"
"ACACA (31)","ACETYL-COA CARBOXYLASE DEFICIENCY (OMIM:613933)"
"ACADM (34)","ACYL-COA DEHYDROGENASE, MEDIUM-CHAIN, DE... (OMIM:201450)"
"ACADS (35)","ACYL-COA DEHYDROGENASE, SHORT-CHAIN, DEF... (OMIM:201470)"
"AICDA (57379)","IMMUNODEFICIENCY WITH HYPER-IgM, TYPE 2 (OMIM:605258)"
"ACADSB (36)","2-METHYLBUTYRYL-COA DEHYDROGENASE DEFICI... (OMIM:610006)"
"ACADVL (37)","ACYL-COA DEHYDROGENASE, VERY LONG-CHAIN,... (OMIM:201475)"
"APCDD1 (147495)","HYPOTRICHOSIS 1 (OMIM:605389), Hypotrichosis simplex (ORPHA:55654)"
"ACAT1 (38)","ALPHA-METHYLACETOACETIC ACIDURIA (OMIM:203750)"
"ACAT2 (39)","ACETYL-COA ACETYLTRANSFERASE-2 DEFICIENC... (OMIM:614055)"
"DNAJC19 (131118)","3-@METHYLGLUTACONIC ACIDURIA, TYPE V (OMIM:610198)"
"USP9X (8239)","MENTAL RETARDATION, X-LINKED 99, SYNDROM... (OMIM:300968), MENTAL RETARDATION, X-LINKED 99 (OMIM:300919), X-linked non-syndromic intellectual disa... (ORPHA:777)"
"RBM10 (8241)","TARP SYNDROME (OMIM:311900)"
"KDM5C (8242)","MENTAL RETARDATION, X-LINKED, SYNDROMIC,... (OMIM:300534), Syndromic X-linked intellectual disabili... (ORPHA:85279)"
"ACO2 (50)","OPTIC ATROPHY 9 (OMIM:616289), INFANTILE CEREBELLAR-RETINAL DEGENERATIO... (OMIM:614559)"
"SMC1A (8243)","CORNELIA DE LANGE SYNDROME 2 (OMIM:300590), Cornelia de Lange syndrome (ORPHA:199)"
"ACOX1 (51)","Peroxisomal acyl-CoA oxidase deficiency (ORPHA:2971), PEROXISOMAL ACYL-CoA OXIDASE DEFICIENCY (OMIM:264470)"
"ACP2 (53)","ACID PHOSPHATASE DEFICIENCY (OMIM:200950)"
"FRMD7 (90167)","NYSTAGMUS 1, CONGENITAL, X-LINKED (OMIM:310700)"
"ACP5 (54)","SPONDYLOENCHONDRODYSPLASIA WITH IMMUNE D... (OMIM:607944), Spondyloenchondrodysplasia (ORPHA:1855)"
"ACTA1 (58)","NEMALINE MYOPATHY 3 (OMIM:161800), MYOPATHY, CONGENITAL, WITH FIBER-TYPE DI... (OMIM:255310), Zebra body myopathy (ORPHA:97240), MYOPATHY, SCAPULOHUMEROPERONEAL (OMIM:616852), Congenital fiber-type disproportion myop... (ORPHA:2020)"
"ACTA2 (59)","AORTIC ANEURYSM, FAMILIAL THORACIC 6 (OMIM:611788), Familial thoracic aortic aneurysm and ao... (ORPHA:91387), MOYAMOYA DISEASE 5 (OMIM:614042), MULTISYSTEMIC SMOOTH MUSCLE DYSFUNCTION ... (OMIM:613834), Moyamoya disease (ORPHA:2573)"
"ACTB (60)","Becker nevus syndrome (ORPHA:64755), Baraitser-Winter cerebrofrontofacial syn... (ORPHA:2995), DYSTONIA, JUVENILE-ONSET (OMIM:607371), Developmental malformations-deafness-dys... (ORPHA:79107), SHORT STATURE - INTELLECTUAL DISABILITY ... (OMIM:608578), BARAITSER-WINTER SYNDROME 1 (OMIM:243310)"
"SCYL1 (57410)","SPINOCEREBELLAR ATAXIA, AUTOSOMAL RECESS... (OMIM:616719)"
"NAA10 (8260)","MICROPHTHALMIA, SYNDROMIC 1 (OMIM:309800), Microphthalmia, Lenz type (ORPHA:568), OGDEN SYNDROME (OMIM:300855)"
"ACTC1 (70)","Familial isolated dilated cardiomyopathy (ORPHA:154), CARDIOMYOPATHY, FAMILIAL HYPERTROPHIC, 1... (OMIM:612098), CARDIOMYOPATHY, DILATED, 1R (OMIM:613424), ATRIAL SEPTAL DEFECT 5 (OMIM:612794)"
"ACTG1 (71)","Baraitser-Winter cerebrofrontofacial syn... (ORPHA:2995), DEAFNESS, AUTOSOMAL DOMINANT 20 (OMIM:604717), BARAITSER-WINTER SYNDROME 2 (OMIM:614583)"
"ACTG2 (72)","Familial visceral myopathy (ORPHA:2604), Megacystis-microcolon-intestinal hypoper... (ORPHA:2241)"
"LAGE3 (8270)","Galloway-Mowat syndrome (ORPHA:2065)"
"ISCA2 (122961)","MULTIPLE MITOCHONDRIAL DYSFUNCTIONS SYND... (OMIM:616370)"
"ACTN4 (81)","FOCAL SEGMENTAL GLOMERULOSCLEROSIS 1 (OMIM:603278)"
"ACTN1 (87)","BLEEDING DISORDER, PLATELET-TYPE, 15 (OMIM:615193)"
"ACTN2 (88)","CARDIOMYOPATHY, DILATED, 1AA, WITH OR WI... (OMIM:612158), Familial isolated dilated cardiomyopathy (ORPHA:154)"
"ACVR1 (90)","Fibrodysplasia ossificans progressiva (ORPHA:337), FIBRODYSPLASIA OSSIFICANS PROGRESSIVA (OMIM:135100)"
"KDM5D (8284)","SPERMATOGENIC FAILURE, NONOBSTRUCTIVE, Y... (OMIM:415000)"
"ACVR2B (93)","HETEROTAXY, VISCERAL, 4, AUTOSOMAL (OMIM:613751)"
"ACVRL1 (94)","TELANGIECTASIA, HEREDITARY HEMORRHAGIC, ... (OMIM:600376), Hereditary hemorrhagic telangiectasia (ORPHA:774)"
"ACY1 (95)","AMINOACYLASE 1 DEFICIENCY (OMIM:609924)"
"USP9Y (8287)","SPERMATOGENIC FAILURE, NONOBSTRUCTIVE, Y... (OMIM:415000), Partial chromosome Y deletion (ORPHA:1646)"
"ARID1A (8289)","COFFIN-SIRIS SYNDROME 2 (OMIM:614607), Coffin-Siris syndrome (ORPHA:1465)"
"DYSF (8291)","MUSCULAR DYSTROPHY, LIMB-GIRDLE, TYPE 2B (OMIM:253601), MIYOSHI MUSCULAR DYSTROPHY 1 (OMIM:254130), MYOPATHY, DISTAL, WITH ANTERIOR TIBIAL O... (OMIM:606768)"
"ADA (100)","Omenn syndrome (ORPHA:39041), SEVERE COMBINED IMMUNODEFICIENCY, AUTOSO... (OMIM:102700), Severe combined immunodeficiency due to ... (ORPHA:277)"
"COLQ (8292)","MYASTHENIC SYNDROME, CONGENITAL, 5 (OMIM:603034)"
"ADAR (103)","AICARDI-GOUTIERES SYNDROME 6 (OMIM:615010), Dyschromatosis symmetrica hereditaria (ORPHA:41), Aicardi-Goutières syndrome (ORPHA:51), DYSCHROMATOSIS SYMMETRICA HEREDITARIA 1 (OMIM:127400)"
"PLEKHG5 (57449)","CHARCOT-MARIE-TOOTH DISEASE, RECESSIVE I... (OMIM:615376), SPINAL MUSCULAR ATROPHY, DISTAL, AUTOSOM... (OMIM:611067)"
"ADCY1 (107)","DEAFNESS, AUTOSOMAL RECESSIVE 44 (OMIM:610154)"
"KLRC4 (8302)","Behçet disease (ORPHA:117)"
"ADCY5 (111)","DYSKINESIA, FAMILIAL, WITH FACIAL MYOKYM... (OMIM:606703), Benign familial chorea (ORPHA:1429)"
"SLITRK1 (114798)","GILLES DE LA TOURETTE SYNDROME (OMIM:137580), TRICHOTILLOMANIA (OMIM:613229)"
"ADCY6 (112)","LETHAL CONGENITAL CONTRACTURE SYNDROME 8 (OMIM:616287), Hypomyelination neuropathy-arthrogryposi... (ORPHA:2680)"
"BRWD3 (254065)","MENTAL RETARDATION, X-LINKED 93 (OMIM:300659)"
"GATAD2B (57459)","MENTAL RETARDATION, AUTOSOMAL DOMINANT 1... (OMIM:615074)"
"ACOX2 (8309)","BILE ACID SYNTHESIS DEFECT, CONGENITAL, ... (OMIM:617308)"
"ADD3 (120)","CEREBRAL PALSY, SPASTIC QUADRIPLEGIC, 3 (OMIM:617008)"
"AXIN1 (8312)","CAUDAL DUPLICATION ANOMALY (OMIM:607864), HEPATOCELLULAR CARCINOMA (OMIM:114550)"
"TBC1D24 (57465)","DEAFNESS, AUTOSOMAL DOMINANT 65 (OMIM:616044), Familial infantile myoclonic epilepsy (ORPHA:352582), DEAFNESS, AUTOSOMAL RECESSIVE 86 (OMIM:614617)"
"AXIN2 (8313)","Oligodontia (ORPHA:99798), OLIGODONTIA-COLORECTAL CANCER SYNDROME (OMIM:608615), COLORECTAL CANCER (OMIM:114500)"
"BAP1 (8314)","Uveal melanoma (ORPHA:39044), TUMOR PREDISPOSITION SYNDROME (OMIM:614327), Familial melanoma (ORPHA:618)"
"SLC12A5 (57468)","EPILEPTIC ENCEPHALOPATHY, EARLY INFANTIL... (OMIM:616645)"
"CDC45 (8318)","Ear-patella-short stature syndrome (ORPHA:2554), MEIER-GORLIN SYNDROME 7 (OMIM:617063)"
"FZD4 (8322)","Retinopathy of prematurity (ORPHA:90050), EXUDATIVE VITREORETINOPATHY 1 (OMIM:133780)"
"FZD6 (8323)","NAIL DISORDER, NONSYNDROMIC CONGENITAL, ... (OMIM:614157)"
"ADK (132)","HYPERMETHIONINEMIA DUE TO ADENOSINE KINA... (OMIM:614300)"
"SHROOM4 (57477)","STOCCO DOS SANTOS X-LINKED MENTAL RETARD... (OMIM:300434)"
"GFI1B (8328)","BLEEDING DISORDER, PLATELET-TYPE, 17 (OMIM:187900), Gray platelet syndrome (ORPHA:721)"
"TTC8 (123016)","Retinitis pigmentosa (ORPHA:791), RETINITIS PIGMENTOSA 51 (OMIM:613464), BARDET-BIEDL SYNDROME 8 (OMIM:615985), Bardet-Biedl syndrome (ORPHA:110)"
"PTCHD1 (139411)","X-linked non-syndromic intellectual disa... (ORPHA:777)"
"ARID1B (57492)","Intellectual disability-sparse hair-brac... (ORPHA:3051), COFFIN-SIRIS SYNDROME 1 (OMIM:135900), 6q25 microdeletion syndrome (ORPHA:251056), MENTAL RETARDATION, AUTOSOMAL DOMINANT 1... (OMIM:614562), Coffin-Siris syndrome (ORPHA:1465)"
"ADRA2B (151)","EPILEPSY, FAMILIAL ADULT MYOCLONIC, 2 (OMIM:607876), Benign adult familial myoclonic epilepsy (ORPHA:86814)"
"KIDINS220 (57498)","SPASTIC PARAPLEGIA, INTELLECTUAL DISABIL... (OMIM:617296)"
"SFTPA2 (729238)","PULMONARY FIBROSIS, IDIOPATHIC (OMIM:178500), Idiopathic pulmonary fibrosis (ORPHA:2032)"
"OTULIN (90268)","AUTOINFLAMMATION, PANNICULITIS, AND DERM... (OMIM:617099)"
"NLGN4X (57502)","AUTISM, SUSCEPTIBILITY TO, X-LINKED 2 (OMIM:300495)"
"ADSL (158)","ADENYLOSUCCINASE DEFICIENCY (OMIM:103050), Adenylosuccinate lyase deficiency (ORPHA:46)"
"SLC24A4 (123041)","AMELOGENESIS IMPERFECTA, HYPOMATURATION ... (OMIM:615887)"
"AARS2 (57505)","COMBINED OXIDATIVE PHOSPHORYLATION DEFIC... (OMIM:614096), LEUKOENCEPHALOPATHY, PROGRESSIVE, WITH O... (OMIM:615889)"
"KRT6C (286887)","PALMOPLANTAR KERATODERMA, NONEPIDERMOLYT... (OMIM:615735)"
"COG6 (57511)","CONGENITAL DISORDER OF GLYCOSYLATION, TY... (OMIM:614576), SHAHEEN SYNDROME (OMIM:615328)"
"ARHGAP31 (57514)","Adams-Oliver syndrome (ORPHA:974), ADAMS-OLIVER SYNDROME 1 (OMIM:100300)"
"AFP (174)","ALPHA-FETOPROTEIN DEFICIENCY (OMIM:615969)"
"AGA (175)","ASPARTYLGLUCOSAMINURIA (OMIM:208400), Aspartylglucosaminuria (ORPHA:93)"
"ACAN (176)","SPONDYLOEPIMETAPHYSEAL DYSPLASIA, AGGREC... (OMIM:612813), Short stature-advanced bone age-early-on... (ORPHA:435804), Spondyloepiphyseal dysplasia, Kimberley ... (ORPHA:93283), OSTEOCHONDRITIS DISSECANS, SHORT STATURE... (OMIM:165800), Spondyloepimetaphyseal dysplasia, aggrec... (ORPHA:171866), SPONDYLOEPIPHYSEAL DYSPLASIA, KIMBERLEY ... (OMIM:608361)"
"HECW2 (57520)","NEURODEVELOPMENTAL DISORDER WITH HYPOTON... (OMIM:617268)"
"AGL (178)","GLYCOGEN STORAGE DISEASE III (OMIM:232400), Glycogen storage disease due to glycogen... (ORPHA:366)"
"PCDH19 (57526)","EPILEPSY, FEMALE-RESTRICTED, WITH MENTAL... (OMIM:300088), Dravet syndrome (ORPHA:33069)"
"JAG1 (182)","TETRALOGY OF FALLOT (OMIM:187500), ALAGILLE SYNDROME 1 (OMIM:118450), Tetralogy of Fallot (ORPHA:3303)"
"AGT (183)","RENAL TUBULAR DYSGENESIS (OMIM:267430)"
"AGTR1 (185)","RENAL TUBULAR DYSGENESIS (OMIM:267430)"
"AGTR2 (186)","X-linked non-syndromic intellectual disa... (ORPHA:777)"
"HACE1 (57531)","SPASTIC PARAPLEGIA AND PSYCHOMOTOR RETAR... (OMIM:616756), Neuroblastoma (ORPHA:635)"
"MAD1L1 (8379)","PROSTATE CANCER (OMIM:176807)"
"AGXT (189)","HYPEROXALURIA, PRIMARY, TYPE I (OMIM:259900), Primary hyperoxaluria type 1 (ORPHA:93598)"
"NR0B1 (190)","ADRENAL HYPOPLASIA, CONGENITAL (OMIM:300200), 46,XY partial gonadal dysgenesis (ORPHA:251510), DOSAGE-SENSITIVE SEX REVERSAL (OMIM:300018), 46,XY complete gonadal dysgenesis (ORPHA:242)"
"MIB1 (57534)","LEFT VENTRICULAR NONCOMPACTION 7 (OMIM:615092)"
"AHCY (191)","HYPERMETHIONINEMIA WITH S-ADENOSYLHOMOCY... (OMIM:613752)"
"WDR35 (57539)","CRANIOECTODERMAL DYSPLASIA 2 (OMIM:613610), SHORT-RIB THORACIC DYSPLASIA 7 WITH OR W... (OMIM:614091), Cranioectodermal dysplasia (ORPHA:1515), Short rib-polydactyly syndrome, Verma-Na... (ORPHA:93271)"
"AHSG (197)","Alopecia-intellectual disability syndrom... (ORPHA:2850)"
"CC2D2A (57545)","JOUBERT SYNDROME 9 (OMIM:612285), Joubert syndrome with hepatic defect (ORPHA:1454), MECKEL SYNDROME, TYPE 6 (OMIM:612284), COACH SYNDROME (OMIM:216360), Meckel syndrome (ORPHA:564), Joubert syndrome with oculorenal defect (ORPHA:2318)"
"AK1 (203)","ADENYLATE KINASE DEFICIENCY, HEMOLYTIC A... (OMIM:612631)"
"AK2 (204)","RETICULAR DYSGENESIA (OMIM:267500), Reticular dysgenesis (ORPHA:33355)"
"PLA2G6 (8398)","PARKINSON DISEASE 14, AUTOSOMAL RECESSIV... (OMIM:612953), NEURODEGENERATION WITH BRAIN IRON ACCUMU... (OMIM:256600), Infantile neuroaxonal dystrophy (ORPHA:35069), NEURODEGENERATION WITH BRAIN IRON ACCUMU... (OMIM:610217)"
"AKT1 (207)","BREAST CANCER (OMIM:114480), PROTEUS SYNDROME (OMIM:176920), Proteus syndrome (ORPHA:744), COLORECTAL CANCER (OMIM:114500), COWDEN SYNDROME 6 (OMIM:615109), Cowden syndrome (ORPHA:201), OVARIAN CANCEROVARIAN CANCER, EPITHELIAL... (OMIM:167000)"
"HFM1 (164045)","PREMATURE OVARIAN FAILURE 9 (OMIM:615724)"
"AKT2 (208)","HYPOINSULINEMIC HYPOGLYCEMIA WITH HEMIHY... (OMIM:240900), Hypoinsulinemic hypoglycemia and body he... (ORPHA:293964), AKT2-related familial partial lipodystro... (ORPHA:79085), DIABETES MELLITUS, NONINSULIN-DEPENDENT (OMIM:125853)"
"ALAD (210)","Porphyria due to ALA dehydratase deficie... (ORPHA:100924), PORPHYRIA, ACUTE HEPATIC (OMIM:612740)"
"ALAS2 (212)","ANEMIA, SIDEROBLASTIC, X-LINKED (OMIM:300751), X-linked sideroblastic anemia (ORPHA:75563), PROTOPORPHYRIA, ERYTHROPOIETIC, X-LINKED (OMIM:300752)"
"ALB (213)","ANALBUMINEMIA (OMIM:616000)"
"C1QTNF5 (114902)","LATE-ONSET RETINAL DEGENERATION (OMIM:605670)"
"ABCD1 (215)","ADRENOLEUKODYSTROPHY (OMIM:300100)"
"IFT80 (57560)","ASPHYXIATING THORACIC DYSTROPHY 2 (OMIM:611263), Short rib-polydactyly syndrome, Verma-Na... (ORPHA:93271), Jeune syndrome (ORPHA:474)"
"ALDH2 (217)","ALCOHOL SENSITIVITY, ACUTE (OMIM:610251)"
"CEP126 (57562)","Monomelic amyotrophy (ORPHA:65684)"
"ALDH1A3 (220)","MICROPHTHALMIA, ISOLATED 8 (OMIM:615113)"
"ALDH3A2 (224)","Sjögren-Larsson syndrome (ORPHA:816), SJOGREN-LARSSON SYNDROME (OMIM:270200)"
"ALDOA (226)","GLYCOGEN STORAGE DISEASE XII (OMIM:611881)"
"TRMT5 (57570)","COMBINED OXIDATIVE PHOSPHORYLATION DEFIC... (OMIM:616539)"
"BFSP2 (8419)","CATARACT, AUTOSOMAL DOMINANT, MULTIPLE T... (OMIM:611597)"
"DOCK6 (57572)","ADAMS-OLIVER SYNDROME 2 (OMIM:614219), Adams-Oliver syndrome (ORPHA:974)"
"ALDOB (229)","FRUCTOSE INTOLERANCE, HEREDITARY (OMIM:229600)"
"LTBP4 (8425)","CUTIS LAXA, AUTOSOMAL RECESSIVE, TYPE IC (OMIM:613177), Duchenne muscular dystrophy (ORPHA:98896)"
"RSPH9 (221421)","Primary ciliary dyskinesia (ORPHA:244), CILIARY DYSKINESIA, PRIMARY, 12 (OMIM:612650)"
"KCNT1 (57582)","EPILEPSY, NOCTURNAL FRONTAL LOBE, 5 (OMIM:615005), EPILEPTIC ENCEPHALOPATHY, EARLY INFANTIL... (OMIM:614959)"
"ALK (238)","Neuroblastoma (ORPHA:635)"
"NR0B2 (8431)","OBESITY (OMIM:601665)"
"ALOX12B (242)","ICHTHYOSIS, CONGENITAL, AUTOSOMAL RECESS... (OMIM:242100), Self-healing collodion baby (ORPHA:281122), Congenital non-bullous ichthyosiform ery... (ORPHA:79394), Lamellar ichthyosis (ORPHA:313)"
"RAD54L (8438)","LYMPHOMA, NON-HODGKIN, FAMILIAL (OMIM:605027)"
"ZNF687 (57592)","PAGET DISEASE OF BONE 6 (OMIM:616833)"
"ALPL (249)","HYPOPHOSPHATASIA, INFANTILE (OMIM:241500), HYPOPHOSPHATASIA, ADULT (OMIM:146300), HYPOPHOSPHATASIA, CHILDHOOD (OMIM:241510)"
"GNPAT (8443)","RHIZOMELIC CHONDRODYSPLASIA PUNCTATA, TY... (OMIM:222765)"
"ALX3 (257)","FRONTONASAL DYSPLASIA 1 (OMIM:136760)"
"CUL4B (8450)","X-linked intellectual disability, Cabeza... (ORPHA:85293), MENTAL RETARDATION, X-LINKED, SYNDROMIC,... (OMIM:300354)"
"AMBN (258)","AMELOGENESIS IMPERFECTA, TYPE IF (OMIM:616270)"
"CUL3 (8452)","PSEUDOHYPOALDOSTERONISM, TYPE IIE (OMIM:614496)"
"FOXN1 (8456)","Alymphoid cystic thymic dysgenesis (ORPHA:169095), T-CELL IMMUNODEFICIENCY, CONGENITAL ALOP... (OMIM:601705)"
"DIP2B (57609)","MENTAL RETARDATION, FRA12A TYPE (OMIM:136630)"
"AMELX (265)","AMELOGENESIS IMPERFECTA, TYPE IE (OMIM:301200)"
"AMH (268)","PERSISTENT MULLERIAN DUCT SYNDROME, TYPE... (OMIM:261550), Persistent Müllerian duct syndrome (ORPHA:2856)"
"AMHR2 (269)","PERSISTENT MULLERIAN DUCT SYNDROME, TYPE... (OMIM:261550), Persistent Müllerian duct syndrome (ORPHA:2856)"
"AMPD1 (270)","MYOPATHY DUE TO MYOADENYLATE DEAMINASE D... (OMIM:615511), Adenosine monophosphate deaminase defici... (ORPHA:45)"
"KLF11 (8462)","MATURITY-ONSET DIABETES OF THE YOUNG, TY... (OMIM:610508)"
"AMPD2 (271)","PONTOCEREBELLAR HYPOPLASIA, TYPE 9 (OMIM:615809), SPASTIC PARAPLEGIA 63, AUTOSOMAL RECESSI... (OMIM:615686)"
"AMPD3 (272)","Adenosine monophosphate deaminase defici... (ORPHA:45)"
"BIN1 (274)","MYOPATHY, CENTRONUCLEAR, 2 (OMIM:255200)"
"AMT (275)","GLYCINE ENCEPHALOPATHY (OMIM:605899)"
"ANG (283)","Amyotrophic lateral sclerosis (ORPHA:803), AMYOTROPHIC LATERAL SCLEROSIS 9 (OMIM:611895)"
"ANK1 (286)","8p11.2 deletion syndrome (ORPHA:251066), SPHEROCYTOSIS, HEREDITARY (OMIM:182900)"
"ANK2 (287)","CARDIAC ARRHYTHMIA, ANKYRIN-B-RELATED (OMIM:600919)"
"ANK3 (288)","MENTAL RETARDATION, AUTOSOMAL RECESSIVE ... (OMIM:615493)"
"OFD1 (8481)","RETINITIS PIGMENTOSA 23 (OMIM:300424), Retinitis pigmentosa (ORPHA:791), JOUBERT SYNDROME 10 (OMIM:300804), OROFACIODIGITAL SYNDROME I (OMIM:311200), Orofaciodigital syndrome type 1 (ORPHA:2750), SIMPSON-GOLABI-BEHMEL SYNDROME, TYPE 2 (OMIM:300209), Primary ciliary dyskinesia (ORPHA:244)"
"SLC25A4 (291)","PROGRESSIVE EXTERNAL OPHTHALMOPLEGIA WIT... (OMIM:609283), MITOCHONDRIAL DNA DEPLETION SYNDROME 12A... (OMIM:617184), MITOCHONDRIAL DNA DEPLETION SYNDROME 12 ... (OMIM:615418), Congenital cataract-hypertrophic cardiom... (ORPHA:1369)"
"MCFD2 (90411)","FACTOR V AND FACTOR VIII, COMBINED DEFIC... (OMIM:613625)"
"PRSS12 (8492)","MENTAL RETARDATION, AUTOSOMAL RECESSIVE ... (OMIM:249500)"
"PPM1D (8493)","BREAST CANCER (OMIM:114480), INTELLECTUAL DEVELOPMENTAL DISORDER WITH... (OMIM:617450)"
"KLHL40 (131377)","NEMALINE MYOPATHY 8 (OMIM:615348)"
"UVSSA (57654)","UV-SENSITIVE SYNDROME 3 (OMIM:614640)"
"PEX3 (8504)","PEROXISOME BIOGENESIS DISORDER 10B (OMIM:617370), PEROXISOME BIOGENESIS DISORDER 10A (ZELL... (OMIM:614882), Neonatal adrenoleukodystrophy (ORPHA:44), Zellweger syndrome (ORPHA:912), Infantile Refsum disease (ORPHA:772)"
"CNTNAP1 (8506)","LETHAL CONGENITAL CONTRACTURE SYNDROME 7 (OMIM:616286), Hypomyelination neuropathy-arthrogryposi... (ORPHA:2680)"
"LEMD2 (221496)","CATARACT, CONGENITAL OR JUVENILECATARACT... (OMIM:212500)"
"KCNAB2 (8514)","1p36 deletion syndrome (ORPHA:1606)"
"APC (324)","Desmoid tumor (ORPHA:873), Cenani-Lenz syndrome (ORPHA:3258), COLORECTAL CANCER (OMIM:114500), DESMOID DISEASE, HEREDITARY (OMIM:135290), GASTRIC CANCERGASTRIC CANCER, INTESTINAL... (OMIM:613659), FAMILIAL ADENOMATOUS POLYPOSIS 1 (OMIM:175100), HEPATOCELLULAR CARCINOMA (OMIM:114550)"
"ITGA8 (8516)","Renal agenesis, bilateral (ORPHA:1848), RENAL HYPODYSPLASIA/APLASIA 1 (OMIM:191830)"
"IKBKG (8517)","IMMUNODEFICIENCY 33 (OMIM:300636), Incontinentia pigmenti (ORPHA:464), IMMUNODEFICIENCY WITHOUT ANHIDROTIC ECTO... (OMIM:300584), ECTODERMAL DYSPLASIA, ANHIDROTIC, WITH I... (OMIM:300301), INVASIVE PNEUMOCOCCAL DISEASE, RECURRENT... (OMIM:300640), ECTODERMAL DYSPLASIA, HYPOHIDROTIC, WITH... (OMIM:300291), INCONTINENTIA PIGMENTI (OMIM:308300)"
"AIRE (326)","Autoimmune polyendocrinopathy type 1 (ORPHA:3453), AUTOIMMUNE POLYENDOCRINE SYNDROME, TYPE ... (OMIM:240300)"
"ELP1 (8518)","NEUROPATHY, HEREDITARY SENSORY AND AUTON... (OMIM:223900), Familial dysautonomia (ORPHA:1764)"
"BIRC3 (330)","MALT lymphoma (ORPHA:52417)"
"RNF213 (57674)","Moyamoya disease (ORPHA:2573)"
"XIAP (331)","LYMPHOPROLIFERATIVE SYNDROME, X-LINKED, ... (OMIM:300635), LYMPHOPROLIFERATIVE SYNDROME, X-LINKED, ... (OMIM:308240), X-linked lymphoproliferative disease (ORPHA:2442)"
"DGKE (8526)","NEPHROTIC SYNDROME, TYPE 7 (OMIM:615008)"
"ALS2 (57679)","AMYOTROPHIC LATERAL SCLEROSIS 2, JUVENIL... (OMIM:205100), Infantile-onset ascending hereditary spa... (ORPHA:293168), Juvenile primary lateral sclerosis (ORPHA:247604), SPASTIC PARALYSIS, INFANTILE-ONSET ASCEN... (OMIM:607225), PRIMARY LATERAL SCLEROSIS, JUVENILE (OMIM:606353), Juvenile amyotrophic lateral sclerosis (ORPHA:300605)"
"APOA1 (335)","AMYLOIDOSIS, FAMILIAL VISCERAL (OMIM:105200), Apolipoprotein A-I deficiency (ORPHA:425), HYPOALPHALIPOPROTEINEMIA, PRIMARY (OMIM:604091)"
